"","pred1","cutIdeal","cutNot.Ideal","channelIndependent","channelInternet","channelMall","storeAshford","storeAusmans","storeBlue.Nile","storeChalmers","storeDanford","storeFred.Meyer","storeGoodmans","storeKay","storeR..Holland","storeRiddles","storeUniversity","storeZales","carat","color","clarity","price"
"343",10.3731463107903,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.05,2,8,5560
"409",11.9194076438152,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.01,5,6,17450
"387",11.2270562330907,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,4,6,11880
"172",10.220425404386,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.08,6,6,5012
"168",10.5916109147714,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.01,2,5,7790
"75",9.53872916741364,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.35,5,8,1680
"108",11.4523488578456,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.66,3,8,11244
"16",10.3782511042912,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.05,3,7,6404
"416",8.90158813981445,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2,6,9,497
"389",11.3284718851335,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.62,5,5,11910
"17",10.1062646395872,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.01,5,7,5476
"379",10.9422871287748,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,5,7,10130
"43",9.92673532876563,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,7,8,4350
"241",9.97911953659339,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,4,5,3648
"341",10.1836338756415,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.01,5,7,5550
"98",12.2121261264471,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.9,4,3,19488
"294",9.31561027629741,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.39,4,6,1094
"70",10.2070690310796,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.69,6,6,6455
"412",9.55640213939242,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.75,9,9,1599
"348",10.4128226091319,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.08,3,7,6180
"420",10.5596407626367,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.05,6,7,7140
"417",10.9516709940921,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.5,9,8,7350
"41",10.6448276881352,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.01,5,7,8699
"411",9.99197332653747,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,9,9,2999
"384",11.4219067074729,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.71,3,8,11840
"247",10.065726338159,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.61,3,3,3147
"34",12.430752938936,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.37,7,9,9999
"256",9.66433534067588,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.71,6,5,2611
"400",11.4293513078514,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,2,6,13820
