Our enemies are getting stronger and stronger by the day and we as a country are getting weaker,,,,,,,,
,AFRAID,AMUSED,ANGRY,ANNOYED,DONT_CARE,HAPPY,INSPIRED,SAD
Enemy,0.129275004,0.125242543,0.128444427,0.134037888,0.109577509,0.122138665,0.125874215,0.125409749
get,0.006101662,0.125836528,0.00995248,0.125947078,0.030074647,0.415771659,0.132030993,0.154284953
stronger ,0.179212102,0.104240186,0.08876168,0.106540462,0.117143423,0.142679189,0.124351242,0.137071717
stronger ,0.179212102,0.104240186,0.08876168,0.106540462,0.117143423,0.142679189,0.124351242,0.137071717
get,0.006101662,0.125836528,0.00995248,0.125947078,0.030074647,0.415771659,0.132030993,0.154284953
weak,0.174607326,0.088595498,0.106449278,0.110331013,0.134767673,0.118778471,0.116087046,0.150383694
,0.674509858,0.673991469,0.432322025,0.709343981,0.538781322,1.357818832,0.754725731,0.858506783
,11.24%,11.23%,7.21%,11.82%,8.98%,22.63%,12.58%,14.31%
" that in this country, justice can be won against the greatest of odds; hope can find its way back to the darkest of corners;",,,,,,,,
,,,,,,,,
country,0.15427482,0.108060333,0.109278811,0.116299799,0.109884531,0.131444205,0.144510474,0.126247027
justice,0.083237747,0.090435765,0.251070584,0.168794849,0.127214179,0.11958788,0.088173035,0.07148596
won,0.056283759,0.09770689,0.149400389,0.088002232,0.356016042,0.085326973,0.102098986,0.06516473
against,,,,,,,,
greatest,0,0.096785649,0.005406472,0.000946498,0.4373274,0.20353254,0.015699869,0.240301572
odds,0.109174937,0.149441774,0.062642178,0.140712184,0.112314952,0.112721853,0.197203617,0.115788505
hope,0.083011159,0.101062917,0.070821567,0.099910726,0.124985247,0.139261829,0.241462993,0.139483562
can,0.124657595,0.136263008,0.112328925,0.123812225,0.113506711,0.119562028,0.158338812,0.111530696
find,0.121346945,0.136385272,0.123917802,0.11040228,0.106975941,0.100052722,0.138307107,0.16261193
its,,,,,,,,
way ,0.097869868,0.141510857,0.101563849,0.124869963,0.121110189,0.125963575,0.180435692,0.106676005
back,0.050960137,0.148560908,0.133325398,0.130250058,0.128620794,0.169964502,0.098444684,0.139873518
darkest,0.084297611,0.186855343,0.068777288,0.105234639,0.13658773,0.144105128,0.166174261,0.107967999
corner,0.107803687,0.117658114,0.076616156,0.104857919,0.149604232,0.138420261,0.19017138,0.114868252
,1.072918265,1.51072683,1.265149419,1.314093372,2.024147948,1.589943496,1.72102091,1.501999756
,8.94%,12.59%,10.54%,10.95%,16.87%,13.25%,14.34%,12.52%
