"","Var1","Var2","value"
"1","word_freq_make","word_freq_make",1
"2","word_freq_address","word_freq_address",1
"3","word_freq_all","word_freq_all",1
"4","word_freq_3d","word_freq_3d",1
"5","word_freq_our","word_freq_our",1
"6","word_freq_over","word_freq_over",1
"7","word_freq_remove","word_freq_remove",1
"8","word_freq_internet","word_freq_internet",1
"9","word_freq_order","word_freq_order",1
"10","word_freq_mail","word_freq_mail",1
"11","word_freq_receive","word_freq_receive",1
"12","word_freq_will","word_freq_will",1
"13","word_freq_people","word_freq_people",1
"14","word_freq_report","word_freq_report",1
"15","word_freq_addresses","word_freq_addresses",1
"16","word_freq_free","word_freq_free",1
"17","word_freq_business","word_freq_business",1
"18","word_freq_email","word_freq_email",1
"19","word_freq_you","word_freq_you",1
"20","word_freq_credit","word_freq_credit",1
"21","word_freq_your","word_freq_your",1
"22","word_freq_font","word_freq_font",1
"23","word_freq_000","word_freq_000",1
"24","word_freq_money","word_freq_money",1
"25","word_freq_hp","word_freq_hp",1
"26","word_freq_hpl","word_freq_hpl",1
"27","word_freq_george","word_freq_george",1
"28","word_freq_650","word_freq_650",1
"29","word_freq_lab","word_freq_lab",1
"30","word_freq_labs","word_freq_labs",1
"31","word_freq_telnet","word_freq_telnet",1
"32","word_freq_857","word_freq_857",1
"33","word_freq_data","word_freq_data",1
"34","word_freq_415","word_freq_415",1
"35","word_freq_85","word_freq_85",1
"36","word_freq_technology","word_freq_technology",1
"37","word_freq_1999","word_freq_1999",1
"38","word_freq_parts","word_freq_parts",1
"39","word_freq_pm","word_freq_pm",1
"40","word_freq_direct","word_freq_direct",1
"41","word_freq_cs","word_freq_cs",1
"42","word_freq_meeting","word_freq_meeting",1
"43","word_freq_original","word_freq_original",1
"44","word_freq_project","word_freq_project",1
"45","word_freq_re","word_freq_re",1
"46","word_freq_edu","word_freq_edu",1
"47","word_freq_table","word_freq_table",1
"48","word_freq_conference","word_freq_conference",1
"49","char_freq_semic","char_freq_semic",1
"50","char_freq_openBracket","char_freq_openBracket",1
"51","char_freq_openSquareBracket","char_freq_openSquareBracket",1
"52","char_freq_exclamationMark","char_freq_exclamationMark",1
"53","char_freq_dollarSign","char_freq_dollarSign",1
"54","char_freq_Hash","char_freq_Hash",1
"55","capital_run_length_average","capital_run_length_average",1
"56","capital_run_length_longest","capital_run_length_longest",1
