DDATE,custitem_producttybe,URL,varieties,combined,totasecs,category,USerID,previousPage
2016-04-21 00:40:08.16,Red-Wine,,,Red-Wine,,type,77,
2016-04-21 00:40:47.826,Red-Wine,,Shiraz,Shiraz,39,type,77,Red-Wine
2016-04-21 00:41:16.273,Red-Wine,,Shiraz,Shiraz,29,type,77,Shiraz
2016-04-21 00:41:42.373,Red-Wine,,Shiraz,Shiraz,26,type,77,Shiraz
2016-04-21 00:42:08.369,Mixed-Red-and-White,,,Mixed-Red-and-White,26,type,77,Shiraz
2016-04-21 00:43:05.749,,5-Star-Halliday-Winery-Mega-Bundle-14-Bottles,,5-Star-Halliday-Winery-Mega-Bundle-14-Bottles,57,wine,77,Mixed-Red-and-White
2016-04-21 00:43:06.418,,,Mixed-Red,Mixed-Red,1,variety,77,5-Star-Halliday-Winery-Mega-Bundle-14-Bottles
2016-04-21 00:40:45.062,Red-Wine,,,Red-Wine,,type,32,
2016-04-21 00:44:28.645,Red-Wine,,,Red-Wine,223,type,32,Red-Wine
2016-04-21 00:44:51.531,Red-Wine,,,Red-Wine,23,type,32,Red-Wine
2016-04-21 00:45:20.244,Red-Wine,,,Red-Wine,29,type,32,Red-Wine
2016-04-21 00:46:10.814,Red-Wine,,,Red-Wine,50,type,32,Red-Wine
2016-04-21 00:47:32.216,,Vintique-Langhorne-Creek-Shiraz-2013-12-Bottles,,Vintique-Langhorne-Creek-Shiraz-2013-12-Bottles,82,wine,32,Red-Wine
2016-04-21 00:47:32.595,,,Shiraz,Shiraz,0,variety,32,Vintique-Langhorne-Creek-Shiraz-2013-12-Bottles
2016-04-21 00:48:40.321,,Creswell-Clare-Valley-Shiraz-2014-12-Bottles,,Creswell-Clare-Valley-Shiraz-2014-12-Bottles,68,wine,32,Shiraz
2016-04-21 00:48:40.683,,,Shiraz,Shiraz,0,variety,32,Creswell-Clare-Valley-Shiraz-2014-12-Bottles
2016-04-21 00:49:41.744,,,Shiraz,Shiraz,61,variety,32,Shiraz
2016-04-21 00:49:59.29,,,Shiraz,Shiraz,18,variety,32,Shiraz
2016-04-21 00:25:22.43,Sparkling-and-Champagne,,,Sparkling-and-Champagne,,type,55,
2016-04-21 00:25:43.412,White-Wine,,,White-Wine,21,type,55,Sparkling-and-Champagne
2016-04-21 00:25:49.027,White-Wine,,,White-Wine,6,type,55,White-Wine
2016-04-21 00:26:05.329,White-Wine,,,White-Wine,16,type,55,White-Wine
2016-04-21 00:26:42.644,Sparkling-and-Champagne,,,Sparkling-and-Champagne,37,type,55,White-Wine
2016-04-21 00:26:49.277,,Ti-Point-Marlborough-Sauvignon-Blanc-2014-12-Bottles,,Ti-Point-Marlborough-Sauvignon-Blanc-2014-12-Bottles,7,wine,55,Sparkling-and-Champagne
2016-04-21 00:27:38.161,Sparkling-and-Champagne,,,Sparkling-and-Champagne,49,type,55,Ti-Point-Marlborough-Sauvignon-Blanc-2014-12-Bottles
2016-04-21 00:19:29.325,,,Shiraz,Shiraz,,variety,5,
2016-04-21 00:21:36.514,Red-Wine,,,Red-Wine,127,type,5,Shiraz
2016-04-21 00:22:30.291,Red-Wine,,,Red-Wine,54,type,5,Red-Wine
2016-04-21 00:23:31.575,Red-Wine,,,Red-Wine,61,type,5,Red-Wine
2016-04-21 00:24:26.551,Red-Wine,,,Red-Wine,55,type,5,Red-Wine
2016-04-21 00:25:46.218,Red-Wine,,,Red-Wine,80,type,5,Red-Wine
2016-04-21 00:28:03.998,,Jamiesons-Run-Cabernet-Sauvignon-2012-6-Bottles,,Jamiesons-Run-Cabernet-Sauvignon-2012-6-Bottles,137,wine,5,Red-Wine
2016-04-21 00:28:04.367,,,Cabernet-Sauvignon,Cabernet-Sauvignon,1,variety,5,Jamiesons-Run-Cabernet-Sauvignon-2012-6-Bottles
2016-04-21 00:29:04.037,,Hesketh-The-Protagonist-Barossa-Shiraz-2013-12-Bottles,,Hesketh-The-Protagonist-Barossa-Shiraz-2013-12-Bottles,60,wine,5,Cabernet-Sauvignon
2016-04-21 00:29:04.395,,,Shiraz,Shiraz,0,variety,5,Hesketh-The-Protagonist-Barossa-Shiraz-2013-12-Bottles
2016-04-21 00:30:18.367,Red-Wine,,,Red-Wine,74,type,5,Shiraz
2016-04-21 00:31:17.344,Red-Wine,,,Red-Wine,59,type,5,Red-Wine
2016-04-21 00:31:42.078,,Annies-Lane-Shiraz-Clare-Valley-2013-12-Bottles,,Annies-Lane-Shiraz-Clare-Valley-2013-12-Bottles,25,wine,5,Red-Wine
2016-04-21 00:31:42.502,,,Shiraz,Shiraz,0,variety,5,Annies-Lane-Shiraz-Clare-Valley-2013-12-Bottles
2016-04-21 00:35:38.158,,Zilzie-Regional-Collection-Barossa-Shiraz-2013-6-Bottles,,Zilzie-Regional-Collection-Barossa-Shiraz-2013-6-Bottles,236,wine,5,Shiraz
2016-04-21 00:35:38.637,,,Shiraz,Shiraz,0,variety,5,Zilzie-Regional-Collection-Barossa-Shiraz-2013-6-Bottles
2016-04-21 00:37:05.499,Red-Wine,,,Red-Wine,87,type,5,Shiraz
2016-04-21 00:39:18.114,Red-Wine,,,Red-Wine,133,type,5,Red-Wine
2016-04-21 00:39:38.922,,Dandelion-Pride-of-the-Fleurieu-Cabernet-2013-12-Bottles,,Dandelion-Pride-of-the-Fleurieu-Cabernet-2013-12-Bottles,20,wine,5,Red-Wine
